n_estimators,max_depth,random_state,RMSE,MAE
60,5,4,1.1644562485561922,0.9228358865751105
90,None,10,1.1653545153233327,0.9198412698412698
90,10,10,1.1653545153233327,0.9198412698412698
90,20,10,1.1653545153233327,0.9198412698412698
100,3,50,1.165661021283936,0.9895862093285144
20,None,50,1.1661138145873362,0.9035714285714285
20,10,50,1.1661138145873362,0.9035714285714285
20,20,50,1.1661138145873362,0.9035714285714285
30,4,4,1.1661142798859543,0.9575517492164748
10,3,5,1.1666866243378375,1.0018800756979909
70,4,10,1.167417464815268,0.9694938155822366
30,4,10,1.1683336018095813,0.9512599788222623
90,3,50,1.168782281703638,0.986541637686201
70,None,30,1.1687937017289092,0.9214285714285714
70,10,30,1.1687937017289092,0.9214285714285714
70,20,30,1.1687937017289092,0.9214285714285714
80,3,50,1.1698387241426809,0.9847700511349414
40,4,20,1.1704899660876413,0.9348709467878732
30,5,10,1.1707688028220782,0.8948276990283295
80,3,4,1.1708617624386104,1.0001126009502659
30,3,50,1.1715551373061301,0.9673435279103205
80,4,10,1.1731261767438805,0.9697054472203158
60,3,50,1.1732578298889442,0.9816816513318071
50,5,10,1.1736514942934155,0.9243698337027119
30,5,30,1.1745273757976444,0.9539074703955658
20,5,10,1.1745923121799577,0.8758527930402928
60,4,10,1.1746460961119742,0.9587865955326108
200,None,50,1.1748510543894488,0.93
200,10,50,1.1748510543894488,0.93
200,20,50,1.1748510543894488,0.93
90,4,10,1.1751915974854508,0.9674358338667408
80,5,10,1.1752860165419308,0.9401871502049818
70,5,30,1.1754953397825716,0.9334924268852843
50,4,4,1.175673498547818,0.9622499727616096
200,5,50,1.1761265181077623,0.9346880082599646
200,None,4,1.1770521593006342,0.9175000000000002
200,10,4,1.1770521593006342,0.9175000000000002
200,20,4,1.1770521593006342,0.9175000000000002
30,2,10,1.177228602411159,1.0663784162667853
200,5,4,1.1777727750512317,0.9213232300070678
50,3,50,1.1779364339940612,0.9878770986684204
100,None,10,1.1784978332000204,0.9357142857142858
100,10,10,1.1784978332000204,0.9357142857142858
100,20,10,1.1784978332000204,0.9357142857142858
90,5,10,1.1788340277042777,0.9418881806117602
100,4,4,1.1788623839226697,0.9503434711450429
10,5,50,1.1789480217394745,0.8668067226890758
70,4,4,1.1790949572376765,0.9579866416309079
90,None,20,1.1791022801050184,0.946031746031746
90,10,20,1.1791022801050184,0.946031746031746
90,20,20,1.1791022801050184,0.946031746031746
80,5,30,1.1798498928514125,0.9320825175155535
90,5,20,1.1800198956459045,0.9488569697498271
100,5,42,1.181068159231526,0.9430690251527963
50,5,20,1.1819259391631778,0.9334181691324547
30,None,30,1.182007976767863,0.9619047619047619
30,10,30,1.182007976767863,0.9619047619047619
30,20,30,1.182007976767863,0.9619047619047619
50,3,30,1.1820109761809083,1.023768919085661
80,4,20,1.1824331458783173,0.9657427349470219
80,None,30,1.182602683551351,0.9249999999999999
80,10,30,1.182602683551351,0.9249999999999999
80,20,30,1.182602683551351,0.9249999999999999
200,4,4,1.1830277531098443,0.9487868284218666
60,5,20,1.1830679977715561,0.9439893472929185
90,4,4,1.1832258980672712,0.9600421472008984
20,4,4,1.1832555549478239,0.9759775425184097
50,4,30,1.1838650527862566,0.9647738088819641
50,3,10,1.183977114118269,1.0080927457314441
20,4,50,1.1843072204649006,0.9312381327822502
100,4,10,1.1847735587681096,0.977299591749908
90,5,42,1.1848725012880732,0.9439920385295618
10,None,50,1.1850256175651708,0.8857142857142858
10,10,50,1.1850256175651708,0.8857142857142858
10,20,50,1.1850256175651708,0.8857142857142858
50,4,10,1.1859781443962385,0.98009549010803
549,5,42,1.186294653000306,0.9383098019921999
40,5,10,1.1865408399073925,0.9259980064141039
70,3,4,1.1869187793217526,1.020599813327331
100,None,42,1.1869829701510344,0.9400000000000001
100,10,42,1.1869829701510344,0.9400000000000001
100,20,42,1.1869829701510344,0.9400000000000001
50,3,4,1.187320263530584,1.023988987071896
30,3,30,1.187583533381221,1.0304497451286896
60,4,30,1.187852087440376,0.961713511793137
40,4,10,1.18810643350295,0.9766315371469999
60,3,10,1.1886937290666457,1.0033290731279318
40,3,10,1.1892607644833786,1.0123703063278866
30,3,2,1.1893162898305525,0.9942992642027241
549,None,42,1.1893896094743939,0.9345563361956805
549,10,42,1.1893896094743939,0.9345563361956805
549,20,42,1.1893896094743939,0.9345563361956805
30,4,2,1.1893937230983298,0.9305755962769374
90,5,30,1.1894090469883425,0.9443604603803019
90,None,30,1.1894228143907861,0.9349206349206349
90,10,30,1.1894228143907861,0.9349206349206349
90,20,30,1.1894228143907861,0.9349206349206349
200,4,3,1.189712629795968,0.9729457314125954
60,3,30,1.1898114064721133,1.0163476229806225
20,3,10,1.1907799250527626,0.9603016329416941
20,4,2,1.1915915530488619,0.9256252247301945
60,None,20,1.191995459136978,0.9511904761904761
60,10,20,1.191995459136978,0.9511904761904761
60,20,20,1.191995459136978,0.9511904761904761
40,None,30,1.1921244541933171,0.9642857142857143
40,10,30,1.1921244541933171,0.9642857142857143
40,20,30,1.1921244541933171,0.9642857142857143
100,5,10,1.1924971329986336,0.9588292326804543
90,None,42,1.192673105172775,0.9412698412698414
90,10,42,1.192673105172775,0.9412698412698414
90,20,42,1.192673105172775,0.9412698412698414
70,5,20,1.1929285342386868,0.9589733763968459
549,5,2,1.1931369971543317,0.9576681786611754
100,3,4,1.1933321632224185,1.0127095158468618
20,None,4,1.193584038575775,0.9857142857142858
20,10,4,1.193584038575775,0.9857142857142858
20,20,4,1.193584038575775,0.9857142857142858
70,None,20,1.1950212557729973,0.9571428571428571
70,10,20,1.1950212557729973,0.9571428571428571
70,20,20,1.1950212557729973,0.9571428571428571
50,None,20,1.195121033918442,0.9271428571428573
50,10,20,1.195121033918442,0.9271428571428573
50,20,20,1.195121033918442,0.9271428571428573
90,3,4,1.1951963057878312,1.0148054934104809
549,4,42,1.1953563654286896,0.9671248352271908
200,None,40,1.1955953388524538,0.9553571428571429
200,10,40,1.1955953388524538,0.9553571428571429
200,20,40,1.1955953388524538,0.9553571428571429
549,None,10,1.1960064022961965,0.9401509237574811
549,10,10,1.1960064022961965,0.9401509237574811
549,20,10,1.1960064022961965,0.9401509237574811
549,None,2,1.1965258384326214,0.9526411657559198
549,10,2,1.1965258384326214,0.9526411657559198
549,20,2,1.1965258384326214,0.9526411657559198
10,1,4,1.1967056864838255,1.1109973640863031
200,4,50,1.1972573755219649,0.9673800750274412
1000,None,3,1.197492737824684,0.946
1000,10,3,1.197492737824684,0.946
1000,20,3,1.197492737824684,0.946
40,5,30,1.197518076233284,0.9678115551776268
90,3,10,1.1979519642284682,1.0222963425482292
70,3,10,1.1979551613079138,1.0226210243682934
40,None,40,1.1980266512656792,0.9642857142857143
40,10,40,1.1980266512656792,0.9642857142857143
40,20,40,1.1980266512656792,0.9642857142857143
100,3,10,1.1982115174595724,1.0231674644359139
20,3,2,1.1982765401037017,0.9879406500700344
200,5,3,1.1987556475067878,0.9577887879825953
549,None,4,1.1996371394410295,0.941712204007286
549,10,4,1.1996371394410295,0.941712204007286
549,20,4,1.1996371394410295,0.941712204007286
10,4,20,1.200032284269357,0.8901878508282449
100,None,30,1.2002469983894386,0.9392857142857144
100,10,30,1.2002469983894386,0.9392857142857144
100,20,30,1.2002469983894386,0.9392857142857144
100,5,30,1.2002825503192582,0.9483938020973737
100,None,20,1.2004017184735638,0.9578571428571429
100,10,20,1.2004017184735638,0.9578571428571429
100,20,20,1.2004017184735638,0.9578571428571429
90,4,20,1.200489960388136,0.9794900365991613
1000,5,3,1.2005037815650437,0.952453302474808
549,5,10,1.2006024980026004,0.9504005967623164
200,5,40,1.2007037845279849,0.9696657084011557
60,4,4,1.2015531192397737,0.9787921793673527
30,3,20,1.2022019052119446,1.007327659108741
549,None,3,1.202326240228747,0.9506895654436638
549,10,3,1.202326240228747,0.9506895654436638
549,20,3,1.202326240228747,0.9506895654436638
200,None,20,1.2031305890408217,0.9567857142857142
200,10,20,1.2031305890408217,0.9567857142857142
200,20,20,1.2031305890408217,0.9567857142857142
549,5,3,1.203161376365372,0.9559610018456616
70,4,30,1.2033468749884495,0.966651164106853
100,4,20,1.203835468928488,0.9810753428753409
10,4,50,1.2038480438095043,0.9160385366267718
1000,None,10,1.2038868895611177,0.9497857142857143
1000,10,10,1.2038868895611177,0.9497857142857143
1000,20,10,1.2038868895611177,0.9497857142857143
549,5,4,1.204063434795857,0.9476877658334179
40,3,2,1.204576942251276,1.0066537592704299
20,3,50,1.2048471096960027,0.9977428684760622
200,5,20,1.2060516988557892,0.9661115458957209
549,4,3,1.206111476539949,0.9796959764066254
70,None,2,1.2061673391970835,0.9448979591836734
70,10,2,1.2061673391970835,0.9448979591836734
70,20,2,1.2061673391970835,0.9448979591836734
10,None,30,1.206529852806919,0.9571428571428573
10,10,30,1.206529852806919,0.9571428571428573
10,20,30,1.206529852806919,0.9571428571428573
80,5,42,1.2066402759140307,0.9448035433457572
200,None,3,1.2067370408313012,0.9578571428571429
200,10,3,1.2067370408313012,0.9578571428571429
200,20,3,1.2067370408313012,0.9578571428571429
100,5,20,1.2070481363535719,0.9663429658965376
1000,None,20,1.2071053924870971,0.9558571428571428
1000,10,20,1.2071053924870971,0.9558571428571428
1000,20,20,1.2071053924870971,0.9558571428571428
80,4,30,1.2080836559806694,0.9677211850261626
1000,4,3,1.2080879268417033,0.9788142611746234
20,1,4,1.2081896437656234,1.1354295741732807
200,3,50,1.2085256022016428,1.0296050569940987
1000,5,10,1.2087192793813346,0.9585670854739039
40,4,40,1.2087498217305601,0.9925916007218961
1000,5,20,1.2090778690917443,0.9623244754181199
549,4,10,1.2092387866104115,0.9739198390516918
90,4,42,1.210637757473307,0.9839020588106597
1000,None,5,1.2106761098068892,0.9552142857142856
1000,10,5,1.2106761098068892,0.9552142857142856
1000,20,5,1.2106761098068892,0.9552142857142856
1000,None,4,1.2107708878467236,0.9471428571428573
1000,10,4,1.2107708878467236,0.9471428571428573
1000,20,4,1.2107708878467236,0.9471428571428573
1000,5,4,1.210791368679585,0.9506277186722701
80,3,10,1.2111823023702535,1.0339849647765607
200,4,10,1.2114035804809358,0.9826682568540518
1000,None,50,1.2114110131813822,0.9510714285714287
1000,10,50,1.2114110131813822,0.9510714285714287
1000,20,50,1.2114110131813822,0.9510714285714287
40,3,30,1.211786758790243,1.0441223150756234
70,4,20,1.2121099097928536,0.987822644113138
80,None,42,1.2123803328281813,0.9392857142857143
80,10,42,1.2123803328281813,0.9392857142857143
80,20,42,1.2123803328281813,0.9392857142857143
1000,5,5,1.2124853826033968,0.9605135137370561
200,None,10,1.2124959499195982,0.9457142857142856
200,10,10,1.2124959499195982,0.9457142857142856
200,20,10,1.2124959499195982,0.9457142857142856
90,None,2,1.2126646509054164,0.9626984126984127
90,10,2,1.2126646509054164,0.9626984126984127
90,20,2,1.2126646509054164,0.9626984126984127
200,5,30,1.212735848732871,0.953805576713427
549,None,20,1.2130250826617235,0.9622690606297163
549,10,20,1.2130250826617235,0.9622690606297163
549,20,20,1.2130250826617235,0.9622690606297163
549,4,2,1.2131099095653457,0.9906927494044878
100,4,42,1.2131777537401256,0.9912232320266872
200,4,20,1.2134145411036115,0.9914593955188463
1000,5,42,1.2137955017546411,0.9669769053875401
1000,4,5,1.21403890287713,0.9807540383622616
200,None,30,1.214112697757973,0.9496428571428572
200,10,30,1.214112697757973,0.9496428571428572
200,20,30,1.214112697757973,0.9496428571428572
200,4,40,1.2146981689756688,1.0015511974821332
1000,None,30,1.214948529186084,0.9582142857142857
1000,10,30,1.214948529186084,0.9582142857142857
1000,20,30,1.214948529186084,0.9582142857142857
50,4,20,1.2151616458287178,0.9793834354598313
1000,None,42,1.2154203858277655,0.962
1000,10,42,1.2154203858277655,0.962
1000,20,42,1.2154203858277655,0.962
1000,5,30,1.2155993730809214,0.9620764786420187
1000,None,40,1.2156829650153742,0.9609285714285714
1000,10,40,1.2156829650153742,0.9609285714285714
1000,20,40,1.2156829650153742,0.9609285714285714
80,None,2,1.21587343678761,0.9678571428571429
80,10,2,1.21587343678761,0.9678571428571429
80,20,2,1.21587343678761,0.9678571428571429
549,None,50,1.2160893001875974,0.9542024460057246
549,10,50,1.2160893001875974,0.9542024460057246
549,20,50,1.2160893001875974,0.9542024460057246
50,3,2,1.2164732308407364,1.0355775244565757
20,5,4,1.2167080147932232,0.9971088435374149
549,5,20,1.216863059005438,0.9696126945730976
1000,5,50,1.2170094657422352,0.9605438876062894
70,3,30,1.2171287196577705,1.0320344731417224
200,5,2,1.2172136444864234,0.9751924313383084
200,3,4,1.217275028554676,1.0203332105833314
1000,4,20,1.2173100314323302,0.986964065158455
549,4,4,1.2174889579998502,0.9790452424131745
60,3,2,1.2175701309408504,1.0448254788638265
70,3,2,1.2180301306268217,1.0421461024092744
200,5,42,1.2183616139292162,0.9651947750652321
40,5,40,1.218412101111581,0.9814973287294715
549,3,42,1.218471199039325,1.033889445152834
1000,None,2,1.218647933455059,0.9645
1000,10,2,1.218647933455059,0.9645
1000,20,2,1.218647933455059,0.9645
70,4,2,1.219044355547184,0.9885577381824348
1000,5,40,1.2192087005069803,0.9696344706970196
90,4,30,1.2193838061587812,0.9800640003131494
60,4,20,1.2194233920273694,0.9917618372421669
549,None,30,1.2194449440231216,0.9549830861306272
549,10,30,1.2194449440231216,0.9549830861306272
549,20,30,1.2194449440231216,0.9549830861306272
1000,5,2,1.219564890681874,0.9702354873904157
60,3,4,1.2197841637854574,1.0494121760694208
549,5,50,1.2200345863751119,0.9625366833540827
90,4,1,1.2200489781645685,0.9618312088432199
1000,4,10,1.220243642037218,0.9850531083911473
60,2,2,1.22114176323317,1.1006369715877127
200,None,2,1.2213378203546188,0.9746428571428571
200,10,2,1.2213378203546188,0.9746428571428571
200,20,2,1.2213378203546188,0.9746428571428571
200,5,10,1.2215115571224249,0.9631881766200533
30,4,30,1.2220840730685243,1.0027893888797859
90,4,2,1.2221885390297762,1.0005226203556348
100,4,1,1.2222142000746343,0.9640507977607673
549,None,40,1.2222642007827536,0.9663023679417121
549,10,40,1.2222642007827536,0.9663023679417121
549,20,40,1.2222642007827536,0.9663023679417121
100,None,2,1.222284161489697,0.9635714285714284
100,10,2,1.222284161489697,0.9635714285714284
100,20,2,1.222284161489697,0.9635714285714284
20,5,2,1.222505944941821,0.9185442253824608
10,3,2,1.2229382122809385,0.9235022548764782
100,4,2,1.2235780740384528,0.9948974900895876
200,None,42,1.2236574275507015,0.9639285714285715
200,10,42,1.2236574275507015,0.9639285714285715
200,20,42,1.2236574275507015,0.9639285714285715
60,None,2,1.2237724656238382,0.9571428571428573
60,10,2,1.2237724656238382,0.9571428571428573
60,20,2,1.2237724656238382,0.9571428571428573
1000,4,42,1.2237953541575015,0.9978558182634043
549,5,30,1.223936484954416,0.9623467526232403
10,1,40,1.2239726213800608,1.0982466472751575
80,4,2,1.2243522151307862,1.0054213136420305
20,None,30,1.224744871391589,0.9571428571428572
20,10,30,1.224744871391589,0.9571428571428572
20,20,30,1.224744871391589,0.9571428571428572
30,None,2,1.224809670993306,0.9142857142857145
30,10,2,1.224809670993306,0.9142857142857145
30,20,2,1.224809670993306,0.9142857142857145
10,5,30,1.2249653252167911,0.9467091836734696
80,4,42,1.2250320580910274,0.9837968674440434
70,5,2,1.225128597501684,0.9662365587260543
60,None,40,1.2258055336590736,0.9940476190476192
60,10,40,1.2258055336590736,0.9940476190476192
60,20,40,1.2258055336590736,0.9940476190476192
90,5,2,1.2261964964455376,0.9793083287446033
200,4,42,1.2263470768295262,0.9922710875201283
80,5,3,1.2271620216346688,0.9886062409657258
100,4,30,1.228363219796672,0.9828355194571675
90,5,3,1.2284751985605145,0.9952425845621267
549,5,40,1.2285370012655283,0.9804842663016375
200,3,3,1.2295087745891073,1.0447816312219513
80,5,2,1.2295928688329092,0.9849361555519642
80,4,1,1.230013264355378,0.9660979167709562
50,None,40,1.230690862889621,0.9985714285714286
50,10,40,1.230690862889621,0.9985714285714286
50,20,40,1.230690862889621,0.9985714285714286
1000,4,30,1.2308482768086895,0.9924674406170217
100,5,2,1.2309494229345705,0.9753060672987142
1000,None,1,1.2312350071603482,0.9670714285714287
1000,10,1,1.2312350071603482,0.9670714285714287
1000,20,1,1.2312350071603482,0.9670714285714287
80,3,30,1.2313084385426485,1.041987056422766
30,5,2,1.231887944291902,0.9341485312073546
90,4,3,1.2319438367319828,1.0180291811506248
549,4,20,1.23259993936589,1.0017162585847637
200,4,2,1.2326649192492272,1.0091541115393292
1000,4,2,1.2330574935185994,1.001415832826844
40,3,20,1.2331203245920788,1.0253138576770258
10,None,20,1.2331724476788661,0.8785714285714287
10,10,20,1.2331724476788661,0.8785714285714287
10,20,20,1.2331724476788661,0.8785714285714287
1000,4,4,1.2332751418290804,0.9891753939886693
90,3,42,1.233387864531891,1.050356252743602
549,5,5,1.2338452926887236,0.9764418446298003
1000,4,50,1.2338660426947419,0.9928601261902678
549,None,5,1.2338955654467314,0.9735883424408013
549,10,5,1.2338955654467314,0.9735883424408013
549,20,5,1.2338955654467314,0.9735883424408013
549,3,2,1.2339221899804018,1.0563753383042476
90,3,2,1.2343424087298516,1.060947347297461
20,5,30,1.23448504351145,0.9603784013605441
40,4,2,1.2347577033992128,0.9680854125399895
60,4,1,1.2349808276826324,0.9613174915693529
549,4,50,1.2356056870503889,0.9897435848280371
100,3,42,1.2358893577223111,1.0590954178749141
80,3,20,1.23642201205326,1.0489154158043772
200,3,40,1.2364976587228316,1.0596594013725056
70,2,2,1.2366244575593193,1.1177988327716386
549,4,30,1.236832123064303,0.9905866420308366
90,None,3,1.2369281230766194,0.9944444444444447
90,10,3,1.2369281230766194,0.9944444444444447
90,20,3,1.2369281230766194,0.9944444444444447
60,4,2,1.23724975802738,1.005026522832717
40,4,30,1.23744166972902,1.0088325333110455
200,5,1,1.237740284680731,0.9747496116227087
200,4,30,1.2381684548589493,0.9888816972068124
1000,5,1,1.238299766664675,0.9765899799488221
10,None,5,1.2383745106273096,0.9785714285714285
10,10,5,1.2383745106273096,0.9785714285714285
10,20,5,1.2383745106273096,0.9785714285714285
20,3,20,1.2386402876334963,1.0524317449259732
200,None,1,1.2391608623811288,0.9732142857142857
200,10,1,1.2391608623811288,0.9732142857142857
200,20,1,1.2391608623811288,0.9732142857142857
10,4,30,1.2394732276298506,0.9592998545572078
30,1,2,1.2394871749286236,1.1554195401077432
100,2,2,1.2395344465618645,1.1229326673409095
80,None,3,1.2398426599486614,0.9928571428571429
80,10,3,1.2398426599486614,0.9928571428571429
80,20,3,1.2398426599486614,0.9928571428571429
60,4,40,1.2399196912744759,1.0348406014363936
1000,4,40,1.240528079003403,1.0075169351680144
549,3,4,1.2405710733716289,1.0421995535221167
549,3,10,1.2410382324701976,1.042329680293585
30,4,42,1.241201876254086,0.9642868229052886
80,4,40,1.2414003702034313,1.030528042376661
100,5,3,1.2417510501788793,0.9991826118202
80,3,2,1.2420173859519894,1.0704051960635177
200,4,1,1.2420748044221857,1.0005352164849644
549,3,3,1.2421455146762816,1.0507290372064058
30,2,2,1.2421812986777385,1.1095923344031902
1000,4,1,1.2422206741219615,1.0020490119001881
1000,3,30,1.2423098413921627,1.047412076729254
10,5,5,1.2423710050889445,0.9828571428571428
50,2,2,1.2425020830325397,1.1133607987122136
1000,3,10,1.2428206401523956,1.04764877976079
100,3,2,1.242860102325992,1.0651482062092967
90,5,1,1.2429093121789252,0.9611872961435285
40,5,3,1.2429871606469385,0.9979257678285617
50,5,42,1.2433079109885532,0.9680177771963486
30,None,40,1.2433952493200808,0.9857142857142858
30,10,40,1.2433952493200808,0.9857142857142858
30,20,40,1.2433952493200808,0.9857142857142858
60,5,40,1.2434264791417666,1.0189651851791575
30,2,42,1.2435962731895591,1.1086312410923953
549,4,5,1.2436504411601217,1.0017134462459956
90,2,2,1.243713023576261,1.128737920868024
1000,3,3,1.2437696965491782,1.0498262172880375
50,4,40,1.2438386172217093,1.0310863577780942
50,None,42,1.2438879141052632,0.9514285714285714
50,10,42,1.2438879141052632,0.9514285714285714
50,20,42,1.2438879141052632,0.9514285714285714
549,4,40,1.244029241309233,1.0133891847658458
100,5,1,1.2442462099458302,0.9615566617672712
50,4,1,1.2442646609345624,0.9622244728363519
100,4,3,1.2445761749344415,1.0195821268377878
80,None,40,1.2447030626963662,1.0017857142857143
80,10,40,1.2447030626963662,1.0017857142857143
80,20,40,1.2447030626963662,1.0017857142857143
50,5,40,1.2448009888112646,1.011995482031196
200,3,42,1.2451534917920624,1.0535231397480673
100,None,1,1.2451907484397722,0.9571428571428573
100,10,1,1.2451907484397722,0.9571428571428573
100,20,1,1.2451907484397722,0.9571428571428573
20,None,2,1.2456352366793189,0.9178571428571429
20,10,2,1.2456352366793189,0.9178571428571429
20,20,2,1.2456352366793189,0.9178571428571429
1000,3,42,1.24568154675695,1.0579346877432652
90,None,1,1.2459635003047684,0.9547619047619047
90,10,1,1.2459635003047684,0.9547619047619047
90,20,1,1.2459635003047684,0.9547619047619047
70,4,1,1.2464811189317346,0.9823159202534758
40,4,3,1.2467311418077045,1.0212325489562182
90,3,30,1.2485135657874418,1.0544821315344546
1000,3,20,1.2487377960772172,1.0578242654308525
50,2,30,1.2488123039563088,1.149246403897595
70,None,40,1.2488770466106824,1.0091836734693875
70,10,40,1.2488770466106824,1.0091836734693875
70,20,40,1.2488770466106824,1.0091836734693875
